央视频道,#genre#
CCTV1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV1,http://223.198.243.82:4000/rtp/239.253.64.120:5140
CCTV1,http://202.107.163.50:5555/udp/238.125.5.96:5140
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1
CCTV1,http://27.184.29.60:12312/rtp/239.254.200.45:8008
CCTV1,http://202.107.163.50:5555/udp/238.125.5.1:5140
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV2,http://223.198.243.82:4000/rtp/239.253.64.195:5140
CCTV2,http://202.107.163.50:5555/udp/238.125.5.20:5140
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2
CCTV2,http://pull-flv-f1.douyincdn.com/media/stream-695106910011261612.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202601211138448FA9B998510F771A8747-9PrRHC&unique_id=stream-695106910011261612_684_flv&wsSecret=258653137fb1ed334218de18f528adaa&wsTime=69704a44
CCTV2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV2,http://27.184.29.60:12312/rtp/239.254.200.158:6000
CCTV2,http://36.46.98.59:8025/rtp/239.112.205.78:5140
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV3,http://223.198.243.82:4000/rtp/239.253.64.244:5140
CCTV3,http://202.107.163.50:5555/udp/238.125.5.21:5140
CCTV3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3
CCTV3,http://27.184.29.60:12312/rtp/239.254.201.152:7205
CCTV4,http://223.198.243.82:4000/rtp/239.253.64.196:5140
CCTV4,http://202.107.163.50:5555/udp/238.125.1.67:5140
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4
CCTV4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8
CCTV4,http://27.184.29.60:12312/rtp/239.254.200.190:6307
CCTV4,http://36.46.98.59:8025/rtp/239.112.205.202:5140
CCTV5,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV5,http://23.237.228.134/live5/CCTV5.m3u8
CCTV5,http://223.198.243.82:4000/rtp/239.253.64.245:5140
CCTV5,http://202.107.163.50:5555/udp/238.125.5.22:5140
CCTV5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV5,https://iptv.catvod.com/live.php?id=CCTV5
CCTV5,http://27.184.29.60:12312/rtp/239.254.201.153:7206
CCTV5,http://36.46.98.59:8025/rtp/239.112.205.222:5140
CCTV5+,http://223.198.243.82:4000/rtp/239.253.64.100:5140
CCTV5+,http://120.238.94.82:9901/tsfile/live/1030_1.m3u8
CCTV5+,http://36.46.98.59:8025/rtp/239.111.205.13:5140
CCTV5+,http://27.184.29.60:12312/rtp/239.254.200.46:8004
CCTV5+,http://202.107.163.50:5555/udp/238.125.5.29:5140
CCTV6,http://223.198.243.82:4000/rtp/239.253.64.246:5140
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6
CCTV6,http://36.46.98.59:8025/rtp/239.112.205.223:5140
CCTV6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV6,http://27.184.29.60:12312/rtp/239.254.201.154:7207
CCTV6,http://202.107.163.50:5555/udp/238.125.5.23:5140
CCTV7,http://23.237.228.134/live5/CCTV7.m3u8
CCTV7,http://202.107.163.50:5555/udp/238.125.5.24:5140
CCTV7,https://iptv.catvod.com/live.php?id=CCTV7
CCTV7,http://27.41.245.32:801/hls/7/index.m3u8
CCTV7,http://27.184.29.60:12312/rtp/239.254.200.159:6000
CCTV7,http://36.46.98.59:8025/rtp/239.112.205.83:5140
CCTV8,http://223.198.243.82:4000/rtp/239.253.64.247:5140
CCTV8,http://202.107.163.50:5555/udp/238.125.5.25:5140
CCTV8,https://iptv.catvod.com/live.php?id=CCTV8
CCTV8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://27.41.245.32:801/hls/8/index.m3u8
CCTV8,http://27.41.245.32:801/hls/8/index.m3u8
CCTV8,http://27.184.29.60:12312/rtp/239.254.201.155:7208
CCTV8,http://36.46.98.59:8025/rtp/239.112.205.224:5140
CCTV9,http://23.237.228.134/live5/CCTV9.m3u8
CCTV9,http://223.198.243.82:4000/rtp/239.253.64.76:5140
CCTV9,http://202.107.163.50:5555/udp/238.125.5.26:5140
CCTV9,https://iptv.catvod.com/live.php?id=CCTV9
CCTV9,http://36.46.98.59:8025/rtp/239.112.205.85:5140
CCTV9,http://27.41.245.32:801/hls/9/index.m3u8
CCTV9,http://27.184.29.60:12312/rtp/239.254.200.59:8112
CCTV10,http://23.237.228.134/live5/CCTV10.m3u8
CCTV10,http://223.198.243.82:4000/rtp/239.253.64.87:5140
CCTV10,http://202.107.163.50:5555/udp/238.125.5.27:5140
CCTV10,https://iptv.catvod.com/live.php?id=CCTV10
CCTV10,http://27.41.245.32:801/hls/10/index.m3u8
CCTV10,http://27.184.29.60:12312/rtp/239.254.200.160:6000
CCTV10,http://36.46.98.59:8025/rtp/239.112.205.86:5140
CCTV11,http://223.198.243.82:4000/rtp/239.253.64.70:5140
CCTV11,http://202.107.163.50:5555/udp/238.125.3.212:5140
CCTV11,https://iptv.catvod.com/live.php?id=CCTV11
CCTV11,http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w744036192_b1000000.m3u8
CCTV11,http://69.30.246.194/live/cctv11.m3u8
CCTV11,http://36.46.98.59:8025/rtp/239.112.205.213:5140
CCTV11,http://27.184.29.60:12312/rtp/239.254.201.123:8120
CCTV12,http://23.237.228.134/live3/CCTV12.m3u8
CCTV12,http://223.198.243.82:4000/rtp/239.253.64.97:5140
CCTV12,http://202.107.163.50:5555/udp/238.125.5.28:5140
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://69.30.246.194/live/cctv12.m3u8
CCTV12,http://69.30.246.194/live/cctv12.m3u8
CCTV12,http://27.184.29.60:12312/rtp/239.254.200.161:6000
CCTV12,http://36.46.98.59:8025/rtp/239.112.205.88:5140
CCTV13,http://223.198.243.82:4000/rtp/239.253.64.59:5140
CCTV13,https://iptv.catvod.com/live.php?id=CCTV13
CCTV13,http://pull-hs-f5.flive.douyincdn.com/media/stream-695161386435347116/index.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1769399632&major_anchor_level=common&sign=9187b14d05855967b7a316320a1085ce&t_id=037-202601191153519CA1DA2812B4E30F9D02-KO6UcR&volcSecret=9187b14d05855967b7a316320a1085ce&volcTime=1769399632
CCTV13,http://27.184.29.60:12312/rtp/239.254.200.9:8264
CCTV13,http://202.107.163.50:5555/udp/238.125.5.31:5140
CCTV14,http://23.237.228.134/live3/CCTV14.m3u8
CCTV14,http://223.198.243.82:4000/rtp/239.253.64.115:5140
CCTV14,https://iptv.catvod.com/live.php?id=CCTV14
CCTV14,http://27.41.245.32:801/hls/14/index.m3u8
CCTV14,http://27.41.245.32:801/hls/14/index.m3u8
CCTV14,http://69.30.246.194/live/cctv14.m3u8
CCTV14,http://36.46.98.59:8025/rtp/239.112.205.91:5140
